citing,cited,citing_sic,citing_gyear,citing_icl,cited_sic,cited_gyear,cited_icl
6800884,6731133,3674,2004,H01L,3674,2004,H03K
6800946,6700068,3663,2004,H01L,7370,2004,H05K
6801020,6745117,3714,2004,H02H,3523,2004,B60K
6801026,6674274,3674,2004,G05F,3674,2004,G05F
6801152,6714155,3812,2004,G01S,3812,2004,G01S
6801424,6678559,3845,2004,H01G,3845,2004,A61N
6801463,6707708,3674,2004,G11C,3674,2004,G11C
6801469,6750694,3674,2004,G11C,3674,2004,H03K
6801470,6717850,3674,2004,G11C,3674,2004,G11C
6801545,6721334,7373,2004,H04J,3576,2004,H04J
6801548,6724757,3576,2004,H04L,3576,2004,H04L
6801548,6735197,3576,2004,H04L,3576,2004,H04L
6801579,6724842,7373,2004,H04L,7373,2004,H04B
6801610,6674851,4813,2004,H04M,4813,2004,H04M
6801613,6674852,3576,2004,H04M,3576,2004,H04M
6801687,6674941,3663,2004,G02B,3728,2004,G02B
6801847,6705294,3531,2004,F02M,3531,2004,F02M
6801906,6725259,7370,2004,G06F,7370,2004,G06F
6801964,6683889,7370,2004,G06F,9997,2004,H04J
6801964,6697356,7370,2004,G06F,4813,2004,H04L
6801964,6708213,7370,2004,G06F,7373,2004,G06F
6801972,6697904,3674,2004,G06F,3674,2004,G06F
6801975,6728815,3576,2004,G06F,3576,2004,G06F
6801975,6745260,3576,2004,G06F,3576,2004,G06F
6802024,6757847,3674,2004,G06F,7370,2004,H02H
6802052,6690392,7370,2004,G06F,3571,2004,G09G
6802054,6678883,7370,2004,G06F,7370,2004,G06F
6802054,6728949,7370,2004,G06F,7370,2004,G06F
6802054,6728955,7370,2004,G06F,7370,2004,G06F
6802054,6742178,7370,2004,G06F,7370,2004,G06F
6802297,6675657,3714,2004,F02M,3714,2004,G01L
6802302,6705301,3510,2004,F02M,3510,2004,F02M
6802536,6749221,3714,2004,B62D,3714,2004,B62D
6802538,6682099,2761,2004,B42D,2761,2004,B42D
6802895,6723160,2840,2004,C08L,2840,2004,C08L
6803648,6723585,3674,2004,H01L,3674,2004,H01L
6803750,6703812,3674,2004,G05F,3674,2004,G05F
6803774,6724324,3825,2004,G01R,3714,2004,H03K
6803813,6710644,3674,2004,H04B,3674,2004,H03K
6803826,6727740,3674,2004,H03L,3674,2004,H03L
6804091,6693782,3571,2004,H02H,3571,2004,H02H
6804134,6697277,3674,2004,G11C,7370,2004,G11C
6804135,6691252,3674,2004,G11C,3570,2004,G06F
6804141,6704218,3825,2004,G11C,3674,2004,G11C
6804141,6754094,3825,2004,G11C,3674,2004,G11C
6804142,6680864,3674,2004,G11C,3674,2004,G11C
6804234,6731596,3674,2004,H04L,3674,2004,H04J
6804234,6732184,3674,2004,H04L,3674,2004,G06F
6804301,6731684,3663,2004,H04N,3663,2004,H04N
6804330,6700965,7372,2004,H04M,4813,2004,H04M
6804376,6681028,7372,2004,G06K,7372,2004,G06K
6804376,6683966,7372,2004,G06K,7372,2004,G06K
6804495,6683555,3812,2004,G01S,3721,2004,H01Q
6804495,6739232,3812,2004,G01S,3672,2004,B64D
6804515,6675013,3663,2004,H04Q,3663,2004,H04Q
6804570,6738931,3570,2004,G06F,9997,2004,G06F
6804619,6721616,3674,2004,G06F,3674,2004,G06F
6804633,6760676,3825,2004,G02F,3825,2004,G06F
6804672,6701345,7372,2004,G06F,8742,2004,G06F
6804681,6735758,3571,2004,G06F,7370,2004,G06F
6804682,6675375,7372,2004,G06F,3571,2004,G06F
6804682,6704926,7372,2004,G06F,7370,2004,G06F
6804682,6704927,7372,2004,G06F,3571,2004,G06F
6804686,6718218,7372,2004,G06F,3570,2004,G06F
6804709,6742015,7372,2004,G06F,8742,2004,G06F
6804719,6681310,7372,2004,G06F,7372,2004,G06F
6804735,6681293,3674,2004,G06F,3571,2004,G06F
6804736,6697904,3570,2004,G06F,3674,2004,G06F
6804741,6694417,3570,2004,G06F,7370,2004,G06F
6804768,6690667,3570,2004,G06F,3674,2004,H04L
6804785,6721746,7370,2004,G06F,7370,2004,G06F
6804785,6735694,7370,2004,G06F,7370,2004,H04L
6804808,6718527,3571,2004,G06F,3571,2004,G06F
6804813,6708169,3570,2004,G06F,7370,2004,G06F
6804946,6675583,3510,2004,F02C,3510,2004,F02C
6805095,6672060,3711,2004,F02D,3711,2004,F02D
6805483,6715295,9997,2004,G01F,9997,2004,F02C
6805966,6761618,3572,2004,B32B,3572,2004,B24B
6806138,6723611,7370,2004,H01L,7370,2004,H01L
6806196,6686237,3674,2004,H01L,3674,2004,H01L
6806196,6713342,3674,2004,H01L,3674,2004,H01L
6806247,6686326,3728,2004,C11D,3728,2004,C08J
6806431,6689976,3825,2004,H01H,3825,2004,H01H
6806431,6740829,3825,2004,H01H,3825,2004,H01H
6806431,6743991,3825,2004,H01H,3825,2004,H01H
6806431,6750413,3825,2004,H01H,3825,2004,H01H
6806431,6756551,3825,2004,H01H,3825,2004,H01H
6806431,6759610,3825,2004,H01H,3825,2004,H01H
6806431,6759611,3825,2004,H01H,3825,2004,H01H
6806431,6762378,3825,2004,H01H,3825,2004,H01H
6806431,6765161,3825,2004,H01H,3825,2004,H01H
6806488,6753544,3570,2004,H01L,3570,2004,H01L
6806559,6706971,8731,2004,H01L,8731,2004,H05K
6806559,6710246,8731,2004,H01L,3674,2004,H01L
6806617,6707227,3714,2004,H02K,3714,2004,H02K
6806662,6690588,6172,2004,H02P,6172,2004,H02M
